,행정구역(시군구)별,어린이집,아동인구(명),국립,사립,아동학대,향후 늘려야 할 공공시설(국공립어린이집),향후 늘려야 할 복지 서비스(보육 관련 서비스),국립/사립,아동학대건수/아동인구수,아동인구수/어린이집수,(기준1)국립/사립,(기준2)향후 국공립 필요성,(기준3)향후 보육 서비스 필요성,(기준4)아동학대건수/아동인구수,(기준5)아동인구수,(기준6)아동인구수/어린이집수,종합점수,종합순위
8,서울특별시,754,293910,292,462,4167,14.0,4.6,0.63,0.0142,389.8,3.0,1.0,3.0,17.0,2.0,2.0,28.0,1.0
1,경기도,2050,550294,1220,830,9192,13.7,3.9,1.47,0.0167,268.44,8.0,2.0,6.0,13.0,1.0,5.0,35.0,2.0
5,대구광역시,311,81271,111,200,1719,10.7,3.8,0.56,0.0212,261.32,1.0,7.0,9.0,11.0,7.0,6.0,41.0,3.0
11,인천광역시,385,108898,187,198,3099,12.1,2.5,0.94,0.0285,282.85,6.0,3.0,17.0,7.0,4.0,4.0,41.0,3.0
6,대전광역시,245,53472,103,142,1645,11.5,3.6,0.73,0.0308,218.25,4.0,6.0,12.0,4.0,13.0,9.0,48.0,5.0
10,울산광역시,180,44167,93,87,1402,9.6,4.0,1.07,0.0317,245.37,7.0,12.0,4.0,3.0,15.0,7.0,48.0,5.0
7,부산광역시,371,107187,135,236,2112,9.6,2.9,0.57,0.0197,288.91,2.0,12.0,16.0,12.0,5.0,3.0,50.0,7.0
9,세종특별자치시,63,24614,61,2,371,11.7,5.4,30.5,0.0151,390.7,17.0,4.0,1.0,15.0,17.0,1.0,55.0,8.0
14,제주특별자치도,118,28308,101,17,859,10.0,4.7,5.94,0.0303,239.9,16.0,9.0,2.0,5.0,16.0,8.0,56.0,9.0
13,전라북도,464,55976,341,123,2453,9.8,3.9,2.77,0.0438,120.64,11.0,11.0,6.0,1.0,11.0,17.0,57.0,10.0
2,경상남도,649,117284,422,227,1743,11.6,3.5,1.86,0.0149,180.71,9.0,5.0,14.0,16.0,3.0,12.0,59.0,11.0
4,광주광역시,269,55356,126,143,858,10.1,3.7,0.88,0.0155,205.78,5.0,8.0,10.0,14.0,12.0,10.0,59.0,11.0
16,충청북도,308,58191,237,71,1288,9.1,4.0,3.34,0.0221,188.93,13.0,15.0,4.0,9.0,10.0,11.0,62.0,13.0
15,충청남도,482,80068,363,119,2374,9.3,3.6,3.05,0.0296,166.12,12.0,14.0,12.0,6.0,8.0,13.0,65.0,14.0
0,강원도,350,51693,271,79,1404,9.9,3.9,3.43,0.0272,147.69,14.0,10.0,6.0,8.0,14.0,14.0,66.0,15.0
3,경상북도,637,86760,432,205,1875,8.2,3.7,2.11,0.0216,136.2,10.0,17.0,10.0,10.0,6.0,15.0,68.0,16.0
12,전라남도,475,60701,388,87,2368,8.9,3.3,4.46,0.039,127.79,15.0,16.0,15.0,2.0,9.0,16.0,73.0,17.0
